START TIME:2024-03-11 16:03:19
Vd=-0000.300000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,6.959710e+00, -3.00000e-02, 3.02911e-04, -4.07696e-05
1,6.979760e+00, -2.00000e-02, 2.93136e-04, -3.75509e-05
1,6.999810e+00, -1.00000e-02, 2.93374e-04, -4.07696e-05
1,7.019970e+00, 0.00000e+00, 2.80619e-04, -4.68493e-05
1,7.040030e+00, 1.00000e-02, 2.80023e-04, -4.27961e-05
1,7.060080e+00, 2.00000e-02, 2.91586e-04, -4.79221e-05
1,7.080130e+00, 3.00000e-02, 2.81096e-04, -4.63724e-05
1,7.100180e+00, 4.00000e-02, 2.87533e-04, -4.67300e-05
1,7.120230e+00, 5.00000e-02, 2.86222e-04, -5.00679e-05
1,7.140280e+00, 6.00000e-02, 2.94209e-04, -4.50611e-05
1,7.160340e+00, 7.00000e-02, 2.86818e-04, -4.42266e-05
1,7.180390e+00, 8.00000e-02, 2.95281e-04, -3.26633e-05
1,7.200440e+00, 9.00000e-02, 2.97189e-04, -3.25441e-05
1,7.220490e+00, 1.00000e-01, 3.05414e-04, -3.69549e-05
1,7.240550e+00, 1.10000e-01, 3.11494e-04, -4.19617e-05
1,7.260600e+00, 1.20000e-01, 3.09944e-04, -4.57764e-05
1,7.280650e+00, 1.30000e-01, 2.98738e-04, -3.63588e-05
1,7.300700e+00, 1.40000e-01, 3.05057e-04, -2.82526e-05
